Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
JC,18/03/2019,13:45:28,88T,Mount,FUN,NA,,,,,CoAgg,UN,UN,NoEjac,,9,11,2,0
SE,18/03/2019,13:50:01,3M2,Mount,8V2,NA,,,,,CoaggObs,UN,UN,NoEjac,,NA,1,UN,0
SE,18/03/2019,13:50:44,3M2,Mount,8V2,NA,,,,,CoaggObs,UN,UN,NoEjac,,NA,1,3,0
SE,18/03/2019,13:50:55,3M2,Mount,8V2,NA,,,,,CoaggObs,UN,UN,NoEjac,,NA,0,3,0
SE,18/03/2019,13:52:08,3U6,SelfStim,,NA,,,,,NA,Erection,NA,NoEjac,,2,4,NA,0
SE,18/03/2019,13:52:33,JVMUN,SelfStim,JVMUN,NA,,,,,Play,NoErection,UN,NoEjac,,2,6,UN,0
JC,18/03/2019,13:54:36,7H9,Submission,8D6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,18/03/2019,13:57:33,2Q9,Mount,FUN,Grm,,,,,Grm,Erection,Intro,NoEjac,,2,5,4,0
JC,18/03/2019,13:58:15,2Q9,Mount,FUN,Grm,,,,,Grm,Erection,Intro,NoEjac,,2,5,4,0
JC,18/03/2019,13:59:17,2Q9,Mount,FUN,Grm,,,,,Grm,Erection,Intro,NoEjac,,2,5,6,0
JC,18/03/2019,14:01:07,9Z5,Mount,4Z5,Grm,,,,,R,Erection,NoIntro,NoEjac,,1,3,5,0
JC,18/03/2019,14:03:19,2Q9,Mount,FUN,Grm,,,,,Grm,Erection,Intro,NoEjac,,4,7,6,0
SE,19/03/2019,07:46:30,2D0,SolSex,0J4,IgnoreRefusal,,,,,CoAgg,NA,NA,NA,"2D0 grunts at something then prhd, 0J4 moves towards then prhd too but away from 2D0 to me?",1,4,NA,0
SE,19/03/2019,07:58:37,61R,Mount,0M1,NA,,,,,UN,UN,UN,UN,"Danny saw 61R mount 0M1, no thrusts. ",UN,UN,0,0
SE,19/03/2019,08:11:56,5P4,Erection,0P9,NA,,,,,Play,Erection,NA,NoEjac,"Playing, mussel ups, 0P9 prhd (see video)",UN,UN,NA,0
SE,19/03/2019,08:24:42,8O5,Submission,4U6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,19/03/2019,08:25:34,8O5,Mount,4U6,NA,,,,,Agg,UN,UN,NoEjac,,0,1,0,0
SE,19/03/2019,08:25:35,8O5,Mount,4U6,NA,,,,,NA,Erection,Intro,NoEjac,"4U2 prhd and getting mounted
Didn't see intro but hear it",0,1,7+,0
SE,19/03/2019,08:26:00,8O5,Mount,4U6,NA,,,,,NA,Erection,Intro,NoEjac,"4U2 prhd and getting mounted
Intro heard not seen",0,1,7+,0
SE,19/03/2019,08:26:04,8O5,Mount,4U6,NA,,,,,NA,Erection,UN,NoEjac,4U2 prhd and getting mounted,0,1,2,0
SE,19/03/2019,08:27:46,8O5,Mount,4U6,NA,,,,,NA,Erection,UN,NoEjac,4U2 prhd and getting mounted,0,1,7+,0
SE,19/03/2019,08:28:18,8O5,Mount,4U6,NA,,,,,NA,Erection,UN,NoEjac,4U2 prhd and getting mounted,0,1,7+,0
SE,19/03/2019,08:28:27,8O5,Mount,4U6,NA,,,,,NA,UN,UN,NoEjac,4U2 prhd and getting mounted,0,1,0,0
SE,19/03/2019,08:28:33,8O5,Mount,4U6,NA,,,,,NA,Erection,UN,NoEjac,4U2 prhd and getting mounted,0,1,7+,0
SE,19/03/2019,08:30:44,8O5,Mount,4U6,NA,,,,,NA,Erection,UN,NoEjac,4U2 prhd and getting mounted,0,1,7+,0
SE,19/03/2019,08:31:00,2O1,SolSex,4U6,IgnoreRefusal,,,,,NA,NA,NA,NA,,0,1,NA,0
SE,19/03/2019,08:50:11,6K5,Submission,7G1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,19/03/2019,09:01:32,8C3,Mount,8K1,NA,,,,,Agg,UN,UN,NoEjac,8K1 fear grin,0,3,5,0
SE,19/03/2019,09:04:18,6R3,Submission,0P9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,19/03/2019,09:52:48,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,10,UN,0
SE,19/03/2019,09:54:10,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,10,3,0
SE,19/03/2019,09:55:11,7G1,Mount,FUN,NA,,,,,F,UN,UN,NoEjac,,No Value,3,2,0
SE,19/03/2019,09:55:54,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,1,3,4,0
SE,19/03/2019,09:56:41,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,1,3,2,0
SE,19/03/2019,09:57:32,7G1,Mount,FUN,NA,,,,,F,UN,UN,NoEjac,,1,3,UN,0
SE,19/03/2019,09:58:17,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,2,5,4,0
SE,19/03/2019,09:58:48,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,2,6,3,0
SE,19/03/2019,10:00:00,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,7,3,0
SE,19/03/2019,10:01:11,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,5,4,0
SE,19/03/2019,10:01:50,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,7,3,0
SE,19/03/2019,10:03:20,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,5,4,0
SE,19/03/2019,10:04:22,7G1,Mount,FUN,NA,,,,,F,Erection,UN,NoEjac,,3,8,3,0
SE,19/03/2019,10:10:08,7G1,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,0,2,3,0
SE,19/03/2019,10:11:21,7G1,Mount,FUN,NA,,,,,R,Erection,UN,NoEjac,,0,3,3,0
SE,19/03/2019,10:12:05,7G1,Mount,FUN,NA,,,,,R,Erection,UN,NoEjac,,0,4,3,0
SE,19/03/2019,10:12:52,7G1,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,0,3,3,0
SE,19/03/2019,10:13:40,7G1,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,0,3,4,0
SE,19/03/2019,10:14:23,7G1,Mount,FUN,NA,,,,,R,UN,UN,NoEjac,,0,3,5,0
SE,19/03/2019,10:49:18,1EE5,Mount,8J3,NA,,,,,Agg,UN,UN,NoEjac,,UN,UN,5,0
SE,19/03/2019,10:58:56,5U3,Mount,FUN,NA,,,,,UN,UN,UN,NoEjac,,1,5,UN,0
SE,19/03/2019,11:00:06,5U3,Mount,FUN,NA,,,,,CoAgg,Erection,UN,NoEjac,,1,5,5,0
SE,19/03/2019,11:00:20,5U3,Mount,FUN,NA,,,,,CoAgg,Erection,UN,NoEjac,,1,5,4,0
SE,19/03/2019,11:01:13,5U3,Mount,FUN,NA,,,,,CoAgg,UN,UN,NoEjac,,1,5,0,0
SE,19/03/2019,11:03:21,5U3,Mount,FUN,NA,,,,,CoaggObs,UN,UN,NoEjac,,1,5,2,0
SE,19/03/2019,12:22:46,3M2,Mount,8V2,NA,,,,,CoAgg,UN,UN,NoEjac,,1,6,UN,0
SE,19/03/2019,12:39:38,6I9,SelfStim,,NA,,,,,R,NA,NA,NoEjac,,0,1,NA,0
SE,19/03/2019,13:08:04,12O,SelfStim,,NA,,,,,NA,NA,NA,NA,,1,4,NA,0
SE,19/03/2019,13:49:21,3M2,Mount,FUN,NA,,,,,CoaggObs,UN,UN,NoEjac,,2,7,6,0
SE,19/03/2019,13:52:43,8K1,Mount,FUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,2,5,2,0
JC,20/03/2019,07:36:03,7J0,Mount,7S3,NA,,,,,CoAgg,Erection,UN,NoEjac,At 6P3,0,2,4,0
JC,20/03/2019,07:38:40,7J0,Aggression,6P3,NA,7S3,,,,NA,NA,NA,NA,At 6P3,0,2,NA,0
JC,20/03/2019,07:39:20,7J0,Mount,7S3,NA,,,,,CoAgg,Erection,UN,NoEjac,At 6P3,0,2,2,0
SE,20/03/2019,07:44:26,0C7,Mount,5U1,NA,,,,,T,UN,UN,NoEjac,,7,18,0,0
SE,20/03/2019,07:47:26,9EE3,Submission,6EE6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,07:56:16,5D1,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,07:57:49,9F9,Mount,7P0,Grm,,,,,Agg,UN,UN,NoEjac,,1,3,5,0
JC,20/03/2019,07:59:10,,No Value,,NA,,,,,NA,NA,NA,NA,Guys donít seem to get erections from fun grm,NA,NA,NA,0
SE,20/03/2019,07:59:37,9F9,Mount,7P0,Grm,,,,,Grm,UN,UN,NoEjac,,2,6,3,0
SE,20/03/2019,08:00:35,9F9,Mount,7P0,Grm,,,,,Grm,UN,UN,NoEjac,,2,7,5,0
SE,20/03/2019,08:01:53,9F9,Mount,7P0,NA,,,,,Grm,UN,UN,NoEjac,,1,5,7+,0
JC,20/03/2019,08:11:21,1T4,Aggression,2N1,IgnoreRefusal,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,08:18:04,8C3,No Value,8J3,NA,,,,,UN,UN,UN,NoEjac,"Saw the mount out of the corner of my eye, no idea why it happened.",0,2,0,0
SE,20/03/2019,08:18:05,8J3,Mount,8C3,Grm,,,,,UN,UN,UN,NoEjac,Reciprocal ,0,2,0,0
SE,20/03/2019,08:18:29,0J4,Mount,6U2,NA,,,,,CoAgg,UN,UN,NoEjac,,0,2,0,0
SE,20/03/2019,08:18:40,6U2,Mount,0J4,NA,,,,,CoAgg,UN,UN,NoEjac,Reciprocal ,0,2,2,0
JC,20/03/2019,08:21:10,8S4,Submission,2M3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,08:29:32,7D2,Submission,76Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,08:29:37,8K1,Mount,6EE6,NA,,,,,T,UN,UN,NoEjac,,0,0,5,0
SE,20/03/2019,08:30:18,8K1,Mount,6EE6,NA,,,,,UN,UN,UN,NoEjac,,0,1,6,0
JC,20/03/2019,08:35:53,7Q8,Submission,2Q9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,08:38:17,,No Value,,NA,,,,,NA,NA,NA,NA,Phnd behaviour mimicry,NA,NA,NA,0
JC,20/03/2019,08:45:07,4I8,Submission,2Q9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,08:46:19,6K5,Mount,FUN,NA,,,,,UN,UN,UN,UN,,2,8,UN,0
SE,20/03/2019,08:46:21,6K5,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,FUN plug - near feeder on beach,2,8,4,0
JC,20/03/2019,08:47:08,1T4,Submission,7Q8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,08:50:03,JVMUN,No Value,7H9,NA,,,,,CoAgg,UN,UN,NoEjac,,1,6,2,0
SE,20/03/2019,08:59:52,,Aggression,0I9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,09:02:38,7K4,Submission,0H8,NA,,,,,NA,NA,NA,NA,"Looked even but when 0H8 musseled up, 7K4 flinched ",NA,NA,NA,0
SE,20/03/2019,09:10:30,1S4,Mount,4U0,NA,,,,,UN,UN,UN,NoEjac,,0,0,5,0
SE,20/03/2019,09:12:05,1S4,Mount,4U0,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,0,7+,0
JC,20/03/2019,09:15:23,5L1,Submission,5P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,09:17:03,7J0,Submission,5P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,09:21:14,73S,Submission,1G9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,09:23:23,2M3,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,09:26:56,2M3,Submission,5P8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,09:32:03,6B8,Mount,FUN,NA,,,,,CoAgg,Erection,NoIntro,NoEjac,,0,3,0,0
SE,20/03/2019,09:32:52,6B8,Mount,FUN,NA,,,,,CoaggObs,Erection,NoIntro,NoEjac,,0,3,0,0
SE,20/03/2019,09:33:15,6B8,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,,0,3,4,0
SE,20/03/2019,09:34:11,6B8,Mount,FUN,NA,,,,,R,Erection,Intro,NoEjac,,0,3,2,0
SE,20/03/2019,09:34:54,6B8,Mount,FUN,NA,,,,,CoAgg,Erection,Intro,NoEjac,,0,3,7+,0
SE,20/03/2019,09:36:30,6B8,Mount,FUN,NA,,,,,CoAgg,Erection,Intro,NoEjac,,0,4,6,0
SE,20/03/2019,09:37:15,6B8,Mount,FUN,NA,,,,,CoAgg,Erection,Intro,NoEjac,,0,5,7+,0
SE,20/03/2019,09:38:01,4U0,Mount,JVMUN,NA,,,,,Aff,Erection,UN,NoEjac,,1,4,6,0
SE,20/03/2019,09:38:57,4U0,Mount,JVMUN,NA,,,,,CoaggObs,UN,UN,NoEjac,,1,4,0,0
SE,20/03/2019,09:40:26,4U0,Mount,JVMUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,1,4,6,0
SE,20/03/2019,09:41:10,4U0,Mount,JVMUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,1,4,4,0
SE,20/03/2019,09:42:05,6B8,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,3,4,0
SE,20/03/2019,09:42:47,6B8,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,3,6,0
SE,20/03/2019,09:43:50,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,2,7+,0
SE,20/03/2019,09:44:50,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,2,6,0
SE,20/03/2019,09:45:51,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,7+,0
SE,20/03/2019,09:46:08,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,4,0
SE,20/03/2019,09:46:50,4U0,Mount,JVMUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,1,3,1,0
SE,20/03/2019,09:47:09,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,7+,0
SE,20/03/2019,09:48:24,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,7+,0
SE,20/03/2019,09:49:02,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,3,6,0
SE,20/03/2019,09:49:51,6B8,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,3,5,0
SE,20/03/2019,09:50:43,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,4,7+,0
SE,20/03/2019,09:51:31,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,4,7+,0
SE,20/03/2019,09:54:43,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,6,7+,0
SE,20/03/2019,09:55:35,4U0,Erection,JVMUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,Holding jvmun hips,1,4,1,0
SE,20/03/2019,09:56:37,6B8,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,5,7+,0
SE,20/03/2019,09:57:50,6B8,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,4,7+,0
SE,20/03/2019,09:58:49,6B8,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,2,7+,0
SE,20/03/2019,09:59:56,6B8,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,2,UN,0
SE,20/03/2019,10:00:50,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,2,7+,0
SE,20/03/2019,10:01:26,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,2,4,0
SE,20/03/2019,10:02:01,6B8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,0,2,4,0
SE,20/03/2019,10:02:21,6B8,Mount,FUN,NA,,,,,Aff,Erection,UN,Ejac,Fun 6w2,0,1,7+,0
JC,20/03/2019,10:08:11,5P8,Mount,FUN,NA,,,,,CoaggObs,UN,UN,NoEjac,,0,1,1,0
JC,20/03/2019,10:21:54,5K5,Mount,5R1,Grm,,,,,CoAgg,Erection,Intro,NoEjac,010-100,2,5,5,0
JC,20/03/2019,10:22:03,5K5,SolSex,5R1,IgnoreRefusal,,,,,CoAgg,Erection,NA,NA,,NA,NA,NA,0
SE,20/03/2019,10:32:36,93R,Submission,19T,NA,,,,,NA,NA,NA,NA,Flinch,NA,NA,NA,0
JC,20/03/2019,10:32:42,25L,Aggression,5R1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,10:36:41,5P8,Mount,FUN,NA,,,,,CoAgg,Erection,NoIntro,NoEjac,,3,5,2,0
JC,20/03/2019,10:56:06,96Z,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,11:06:39,9EE6,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,Group F,0,2,7+,0
JC,20/03/2019,12:19:27,97V,Mount,JVUN,Grm,,,,,Aff,Erection,NoIntro,NoEjac,,0,2,3,0
JC,20/03/2019,12:23:43,3K4,Submission,5D1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,12:25:38,6J3,Submission,5D1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,12:25:39,4U6,SelfStim,,NA,,,,,NA,Erection,NA,NoEjac,,NA,1,NA,0
JC,20/03/2019,12:32:37,7Q8,Mount,FUN,NA,,,,,CoAgg,NoErection,NoIntro,NoEjac,,9,15,0,0
JC,20/03/2019,12:34:17,7Q8,Erection,FUN,NA,,,,,Grm,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,12:35:16,JVMUN,Mount,JVMUN,NA,,,,,Aff,UN,UN,UN,,NA,NA,3,0
JC,20/03/2019,12:50:59,7H9,Aggression,1G9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,20/03/2019,13:17:22,5P8,Mount,FUN,NA,,,,,Aff,UN,UN,NoEjac,,0,1,4,0
JC,20/03/2019,13:18:12,5P8,Mount,FUN,NA,,,,,CoAgg,Erection,NoIntro,NoEjac,,1,2,4,0
JC,20/03/2019,13:21:42,5P8,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,1,2,2,0
JC,20/03/2019,13:26:51,5B2,Mount,JVMUN,Grm,,,,,R,Erection,NoIntro,NA,"100-111
",NA,NA,4,0
JC,20/03/2019,13:42:52,6H9,Submission,7H9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,20/03/2019,13:45:10,8A7,Mount,9R6,NA,,,,,UN,UN,UN,NoEjac,,0,6,5,0
SE,20/03/2019,13:46:51,8A7,Mount,9R6,NA,,,,,CoaggObs,UN,UN,NoEjac,,0,6,6,0
SE,20/03/2019,13:51:03,SAMUN,Mount,SAMUN,NA,,,,,CoaggObs,UN,UN,NoEjac,SAMUN or young MUN,0,2,UN,0
SE,20/03/2019,13:59:56,JVMUN,Mount,JVFUN,NA,,,,,Play,NoErection,UN,NoEjac,Rec AI0,3,10,UN,0
SE,20/03/2019,14:01:27,1B1,Mount,FUN,NA,,,,,F,UN,UN,NoEjac,,7,17,UN,0
SE,20/03/2019,14:02:51,1B1,Mount,FUN,NA,,,,,F,UN,UN,NoEjac,,7,17,7+,0
SE,20/03/2019,14:07:19,JVMUN,Mount,JVMUN,NA,,,,,UN,UN,UN,NoEjac,"Act AI1
Seen as coming out of Wendy house to leave",0,1,UN,0
SE,20/03/2019,14:08:28,JVMUN,Mount,JVMUN,NA,,,,,Grm,UN,UN,NoEjac,"Rec AI1 - act same rec JVMUN as entry before this. 
Seen as coming out of Wendy house to leave",0,1,UN,0
JC,21/03/2019,07:36:49,7G9,Mount,FUN,Grm,,,,,Aff,Erection,Intro,Ejac,,1,5,UN,0
JC,21/03/2019,07:39:03,4O5,Submission,5D1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,07:45:33,5K8,Mount,04T,NA,,,,,Agg,UN,UN,NoEjac,,2,4,2,0
SE,21/03/2019,07:45:43,5K8,Mount,0H8,NA,,,,,Agg,UN,UN,NoEjac,,2,4,0,0
JC,21/03/2019,07:53:54,3M9,Aggression,5G2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,07:59:00,4EE2,Mount,0G8,NA,,,,,Agg,NoErection,UN,NoEjac,,15+,20,0,0
JC,21/03/2019,08:01:30,3K4,Submission,76Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:03:36,25L,Submission,3M9,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:04:53,25L,Aggression,3K4,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:05:56,9O9,Submission,7J0,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:13:48,6H9,Aggression,30Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:14:45,5K5,Mount,30Z,NA,,,,,T,Erection,NoIntro,NoEjac,,0,5,1,0
JC,21/03/2019,08:15:32,30Z,Submission,5K5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,08:16:43,36V,Submission,1EE5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:17:54,30L,Aggression,4O5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,08:19:10,1EE5,Aggression,8J3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,08:20:08,6EE6,Aggression,8K1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:22:24,73S,Submission,7D2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,08:25:05,2K6,Submission,4K7,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:28:47,3I3,Mount,FUN,NA,,,,,CoAgg,UN,UN,NoEjac,,15+,20,3,0
JC,21/03/2019,08:34:13,3K4,Submission,6J3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:40:04,3K4,Submission,96Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,08:49:50,6J3,Submission,7D2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,08:56:01,5B0,Submission,1F2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,09:01:20,1M1,Aggression,88T,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,09:02:46,1EE5,Aggression,36V,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,09:02:54,96Z,SelfStim,,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,09:07:02,6B8,Mount,FUN,NA,,,,,CoaggObs,UN,UN,NoEjac,,0,2,5,0
JC,21/03/2019,09:24:36,3M9,Aggression,76Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,09:31:02,6H9,Submission,7Q8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,09:33:03,30Z,Submission,3I3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,09:39:04,07D,Submission,8R6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,09:52:03,3K4,Mount,FUN,NA,,,,,T,UN,UN,NoEjac,,0,2,5,0
SE,21/03/2019,09:54:48,36V,Mount,FUN,NA,,,,,NA,NoErection,NoIntro,NoEjac,,3,7,1,0
JC,21/03/2019,10:01:36,97V,Aggression,6J3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,10:26:22,4D3,Submission,96Z,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,21/03/2019,10:34:38,30Z,Submission,5G2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,11:00:23,SAMUN,Mount,SAMUN,NA,,,,,UN,Erection,UN,NoEjac,,0,0,UN,0
SE,21/03/2019,12:40:34,5P4,Aggression,8O5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,12:52:49,8O5,Submission,3P3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,13:04:36,12O,Mount,FUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,3,7+,0
SE,21/03/2019,13:09:39,0J4,Mount,FUN,NA,,,,,CoAgg,UN,UN,NoEjac,,3,4,UN,0
SE,21/03/2019,13:38:24,5U1,Aggression,2K6,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,21/03/2019,13:39:40,81O,Mount,FUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,1,5,0
SE,21/03/2019,13:39:54,81O,Mount,FUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,2,5,0
SE,21/03/2019,13:41:05,81O,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,2,3,0
SE,21/03/2019,13:41:23,81O,Mount,FUN,NA,,,,,Aff,Erection,UN,NoEjac,,0,2,3,0
SE,21/03/2019,13:41:49,81O,Mount,FUN,NA,,,,,CoaggObs,Erection,UN,NoEjac,,0,2,5,0
SE,21/03/2019,13:43:00,81O,Mount,FUN,NA,,,,,Aff,Erection,UN,Ejac,,0,2,7+,0
SE,21/03/2019,13:59:40,6EE6,Aggression,4EE2,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,22/03/2019,07:53:35,1T4,Mount,1M1,NA,,,,,Play,Erection,NoIntro,NoEjac,,5,9,3,0
SE,22/03/2019,08:02:02,8K1,Submission,1EE5,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,22/03/2019,08:02:24,5L1,Mount,MUN,Grm,,,,,T,NoErection,NoIntro,NoEjac,010-110?,0,0,0,0
JC,22/03/2019,08:17:11,7U9,Mount,1T4,NA,,,,,F,Erection,Intro,NoEjac,,15+,20,5,0
JC,22/03/2019,08:18:39,7U9,Mount,FUN,NA,,,,,F,Erection,Intro,NoEjac,,15+,20,6,0
JC,22/03/2019,08:22:45,4L9,Aggression,73S,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,22/03/2019,08:25:26,4L9,Submission,7Q8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,22/03/2019,08:26:15,5B2,Submission,4N3,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
SE,22/03/2019,08:28:10,6EE6,Submission,6B8,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
JC,22/03/2019,08:28:40,1T4,Aggression,4N3,IgnoreRefusal,,,,,NA,NA,NA,NA,1t4 didnít have normal backup ,NA,NA,NA,0
JC,22/03/2019,08:42:23,5D1,Submission,1M1,NA,,,,,NA,NA,NA,NA,,NA,NA,NA,0
