Obs,Date,Time,AnimalID,Action,Recipient,Response ,Actor2,Actor3,Recip2,Recip3,Context ,Erection,Intromission,Ejaculation ,Notes,Prox_10M_AF,Prox_10M_All,Thrust_Number,IOR
SE,26/02/2019,12:33:49,MUN,Mount,MUN,NA,,,,,Grm,UN,UN,NA,,No Value,No Value,No Value,0
JC,26/02/2019,12:55:34,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,12:56:26,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,12:57:48,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,12:59:07,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,13:00:00,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,13:01:04,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,NoEjac,,15+,20,No Value,0
JC,26/02/2019,13:01:39,3I3,Mount,FUN,NA,,,,,Aff,Erection,Intro,Ejac,,15+,20,No Value,0
JC,26/02/2019,13:20:24,4H2,Mount,9D7,NA,,,,,Agg,UN,UN,UN,,1,4,No Value,0
JC,26/02/2019,13:24:06,4H2,Mount,MUN,NA,,,,,Agg,UN,UN,NA,4h2 subbed to mun prior,2,5,No Value,0
SE,26/02/2019,13:52:41,0I9,Mount,FUN,NA,,,,,CoAgg,Erection,Intro,Ejac,Aggression ~10m away,No Value,No Value,No Value,0
JC,27/02/2019,07:48:39,3P5,Mount,SAMUN,NA,,,,,R,Erection,NoIntro,NA,,0,1,No Value,0
SE,27/02/2019,08:03:55,5K8,Mount,MUN,NA,,,,,R,UN,UN,NA,"Act was grooming a F
Rec grunting at something going on elsewhere. 101?-011, red spot in left ear",No Value,No Value,No Value,0
JC,27/02/2019,08:05:53,1M1,Mount,FUN,NA,,,,,NA,Erection,NoIntro,NA,,3,6,No Value,0
SE,27/02/2019,08:18:20,61R,Mount,FUN,NA,,,,,R,Erection,Intro,Ejac,Act pretty certain ,No Value,No Value,No Value,0
SE,27/02/2019,08:28:16,MUN,Mount,FUN,NA,,,,,R,Erection,Intro,Ejac,"F is tiny, juv?",No Value,No Value,No Value,0
SE,27/02/2019,08:36:50,3I6,Mount,FUN,NA,,,,,R,Erection,Intro,Ejac,,No Value,No Value,No Value,0
